"weight";"lat";"lon"
"10";"33.866";"-118.628"
"10";"33.836";"-118.628"
"10";"34.436";"-118.509"
"10";"34.205";"-118.469"
"10";"33.896";"-118.589"
"10";"34.376";"-118.649"
"10";"33.836";"-118.559"
"10";"33.775";"-118.309"
"10";"34.166";"-118.408"
"10";"33.896";"-118.548"
"10";"33.876";"-118.598"
"10";"34.086";"-118.458"
"10";"33.946";"-118.329"
"10";"33.826";"-118.329"
"10";"33.815";"-118.158"
"10";"33.696";"-118.298"
"10";"34.025";"-118.389"
"10";"34.156";"-118.499"
"9";"34.236";"-118.539"
"9";"33.946";"-118.908"
"9";"34.096";"-118.509"
"9";"34.065";"-118.469"
"9";"33.896";"-118.539"
"9";"34.355";"-118.649"
"9";"33.556";"-118.238"
"9";"34.516";"-118.449"
"9";"33.936";"-118.719"
"9";"33.836";"-118.169"
"9";"34.406";"-118.509"
"9";"34.105";"-118.429"
"9";"33.946";"-118.768"
"9";"34.135";"-118.529"
"9";"33.885";"-118.589"
"9";"34.086";"-118.449"
"9";"33.976";"-118.399"
"9";"33.855";"-118.359"
"9";"34.016";"-118.429"
"9";"33.946";"-118.289"
"9";"33.836";"-118.339"
"9";"33.576";"-118.189"
"9";"34.076";"-118.458"
"9";"34.525";"-118.439"
"9";"34.216";"-118.598"
"9";"34.175";"-118.529"
"9";"34.236";"-118.548"
"9";"34.076";"-118.399"
"9";"33.936";"-118.729"
"9";"33.885";"-118.609"
"9";"34.406";"-118.658"
"9";"34.296";"-118.488"
"9";"34.286";"-118.429"
"9";"34.135";"-118.548"
"9";"33.946";"-118.759"
"9";"34.236";"-118.449"
"9";"34.166";"-118.419"
"9";"34.116";"-118.458"
"9";"34.105";"-118.479"
"9";"34.056";"-118.518"
"9";"34.036";"-118.499"
"9";"33.986";"-118.479"
"9";"33.696";"-118.289"
"9";"33.605";"-118.298"
"9";"34.166";"-118.439"
"9";"34.046";"-118.449"
"9";"33.885";"-118.479"
"9";"33.556";"-118.179"
"9";"34.245";"-118.569"
"9";"33.876";"-118.488"
"9";"33.576";"-118.238"
"9";"34.266";"-118.488"
"9";"34.076";"-118.449"
"9";"33.826";"-118.128"
